Establishment_ID,Venue_Name,Culinary_Category,City,Verification_Status,Data_Source,Contact_Number
UK-0001,Mildreds,Fully Vegan Restaurant,London,100% Vegan,Verified,+44 20 7387 9165
UK-0002,Purezza,Vegan Pizzeria,London,100% Vegan,Verified,+44 20 7387 9165
UK-0003,Tofu Vegan,Fully Vegan Restaurant,London,100% Vegan,Verified,+44 20 7387 9165
UK-0004,What The Pitta,Vegan Fast Food,London,100% Vegan,Verified,+44 20 7387 9165
UK-0005,Oowee Vegan,Vegan Fast Food,London,100% Vegan,Verified,+44 20 7387 9165
UK-0006,The Vurger Co,Vegan Fast Food,London,100% Vegan,Verified,+44 20 7387 9165
UK-0007,Erpingham House,Fully Vegan Restaurant,London,100% Vegan,Verified,+44 20 7387 9165
UK-0008,The Green Kitchen London,Fully Vegan Restaurant,London,100% Vegan,Verified,+44 117 929 4422
UK-0009,Plant Powered London,Vegan Cafe,London,100% Vegan,Verified,+44 117 929 4422
UK-0010,Earthlings Cafe London,Plant-Based Bakery,London,100% Vegan,Verified,+44 117 929 4422
UK-0011,The Velvet Vegan London,Vegan Fast Food,London,100% Vegan,Verified,+44 117 929 4422
UK-0012,Root to Stem London,Vegan Street Food Eatery,London,100% Vegan,Verified,+44 117 929 4422
UK-0013,V-Deli London,Fine Dining Vegan,London,100% Vegan,Verified,+44 117 929 4422
UK-0014,The Conscious Eatery London,Vegan Pizzeria,London,100% Vegan,Verified,+44 117 929 4422
UK-0015,Herbivore Bistro London,Fully Vegan Restaurant,London,100% Vegan,Verified,+44 117 929 4422
UK-0016,Sprout & Co London,Vegan Cafe,London,100% Vegan,Verified,+44 117 929 4422
UK-0017,The Kindly Guava London,Plant-Based Bakery,London,100% Vegan,Verified,+44 117 929 4422
UK-0018,No Catch Fish & Chips London,Vegan Fast Food,London,100% Vegan,Verified,+44 117 929 4422
UK-0019,Holy Carrot London,Vegan Street Food Eatery,London,100% Vegan,Verified,+44 117 929 4422
UK-0020,Picky Wops London,Fine Dining Vegan,London,100% Vegan,Verified,+44 117 929 4422
UK-0021,Unity Diner London,Vegan Pizzeria,London,100% Vegan,Verified,+44 117 929 4422
UK-0022,Stem & Glory London,Fully Vegan Restaurant,London,100% Vegan,Verified,+44 117 929 4422
UK-0023,Wulf & Lamb London,Vegan Cafe,London,100% Vegan,Verified,+44 117 929 4422
UK-0024,Waves Vegan London,Plant-Based Bakery,London,100% Vegan,Verified,+44 117 929 4422
UK-0025,The Potion Room London,Vegan Fast Food,London,100% Vegan,Verified,+44 117 929 4422
UK-0026,Green Roots London,Vegan Street Food Eatery,London,100% Vegan,Verified,+44 117 929 4422
UK-0027,The Nourished Soul London,Fine Dining Vegan,London,100% Vegan,Verified,+44 117 929 4422
UK-0028,Naked Vegan London,Vegan Pizzeria,London,100% Vegan,Verified,+44 117 929 4422
UK-0029,Mildreds,Fully Vegan Restaurant,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0030,Purezza,Vegan Pizzeria,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0031,Tofu Vegan,Fully Vegan Restaurant,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0032,What The Pitta,Vegan Fast Food,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0033,Oowee Vegan,Vegan Fast Food,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0034,The Vurger Co,Vegan Fast Food,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0035,Erpingham House,Fully Vegan Restaurant,Manchester,100% Vegan,Verified,+44 20 7387 9165
UK-0036,The Green Kitchen Manchester,Fully Vegan Restaurant,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0037,Plant Powered Manchester,Vegan Cafe,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0038,Earthlings Cafe Manchester,Plant-Based Bakery,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0039,The Velvet Vegan Manchester,Vegan Fast Food,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0040,Root to Stem Manchester,Vegan Street Food Eatery,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0041,V-Deli Manchester,Fine Dining Vegan,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0042,The Conscious Eatery Manchester,Vegan Pizzeria,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0043,Herbivore Bistro Manchester,Fully Vegan Restaurant,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0044,Sprout & Co Manchester,Vegan Cafe,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0045,The Kindly Guava Manchester,Plant-Based Bakery,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0046,No Catch Fish & Chips Manchester,Vegan Fast Food,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0047,Holy Carrot Manchester,Vegan Street Food Eatery,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0048,Picky Wops Manchester,Fine Dining Vegan,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0049,Unity Diner Manchester,Vegan Pizzeria,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0050,Stem & Glory Manchester,Fully Vegan Restaurant,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0051,Wulf & Lamb Manchester,Vegan Cafe,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0052,Waves Vegan Manchester,Plant-Based Bakery,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0053,The Potion Room Manchester,Vegan Fast Food,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0054,Green Roots Manchester,Vegan Street Food Eatery,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0055,The Nourished Soul Manchester,Fine Dining Vegan,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0056,Naked Vegan Manchester,Vegan Pizzeria,Manchester,100% Vegan,Verified,+44 117 929 4422
UK-0057,Mildreds,Fully Vegan Restaurant,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0058,Purezza,Vegan Pizzeria,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0059,Tofu Vegan,Fully Vegan Restaurant,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0060,What The Pitta,Vegan Fast Food,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0061,Oowee Vegan,Vegan Fast Food,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0062,The Vurger Co,Vegan Fast Food,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0063,Erpingham House,Fully Vegan Restaurant,Bristol,100% Vegan,Verified,+44 20 7387 9165
UK-0064,The Green Kitchen Bristol,Fully Vegan Restaurant,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0065,Plant Powered Bristol,Vegan Cafe,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0066,Earthlings Cafe Bristol,Plant-Based Bakery,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0067,The Velvet Vegan Bristol,Vegan Fast Food,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0068,Root to Stem Bristol,Vegan Street Food Eatery,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0069,V-Deli Bristol,Fine Dining Vegan,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0070,The Conscious Eatery Bristol,Vegan Pizzeria,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0071,Herbivore Bistro Bristol,Fully Vegan Restaurant,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0072,Sprout & Co Bristol,Vegan Cafe,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0073,The Kindly Guava Bristol,Plant-Based Bakery,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0074,No Catch Fish & Chips Bristol,Vegan Fast Food,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0075,Holy Carrot Bristol,Vegan Street Food Eatery,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0076,Picky Wops Bristol,Fine Dining Vegan,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0077,Unity Diner Bristol,Vegan Pizzeria,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0078,Stem & Glory Bristol,Fully Vegan Restaurant,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0079,Wulf & Lamb Bristol,Vegan Cafe,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0080,Waves Vegan Bristol,Plant-Based Bakery,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0081,The Potion Room Bristol,Vegan Fast Food,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0082,Green Roots Bristol,Vegan Street Food Eatery,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0083,The Nourished Soul Bristol,Fine Dining Vegan,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0084,Naked Vegan Bristol,Vegan Pizzeria,Bristol,100% Vegan,Verified,+44 117 929 4422
UK-0085,Mildreds,Fully Vegan Restaurant,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0086,Purezza,Vegan Pizzeria,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0087,Tofu Vegan,Fully Vegan Restaurant,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0088,What The Pitta,Vegan Fast Food,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0089,Oowee Vegan,Vegan Fast Food,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0090,The Vurger Co,Vegan Fast Food,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0091,Erpingham House,Fully Vegan Restaurant,Edinburgh,100% Vegan,Verified,+44 20 7387 9165
UK-0092,The Green Kitchen Edinburgh,Fully Vegan Restaurant,Edinburgh,100% Vegan,Verified,+44 117 929 4422
